#Sno.,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1
29,7.8,1267.351,0.0334700048,0.0462593563,68,454.6,0.3676228316,6.4288673607,3.5845558804,0.3855853399,2.0182718391,0.5289893442,1.3340104085,1.8951
33,7.72,1424.9673333333,0.0334700048,0.0533343166,78,454.73,0.3483217955,6.4045539873,3.5810184002,0.3880343647,1.9843906555,0.5224586116,1.4004752372,1.9001
276,1.54,351.5596666667,0.077824564,0.7488573432,25,436.05,0.184363943,7.0437883568,3.9565355273,1.4220670334,2.7823997669,0.6544338338,4.5992484527,1.777
275,1.74,435.703,0.077824564,2.0740518425,20,448.11,0.3742101639,6.8151264543,3.7608856618,1.424788172,2.4750098309,0.5583776411,3.0701093091,1.4173
268,2.59,375.1253333333,0.077824564,0.7415102691,25,440.92,0.1688069215,6.9171865671,3.8531322604,1.4555370382,2.7384480358,0.7224622988,18.4067418111,1.7498
273,2.1,375.0286666667,0.077824564,0.0002721139,30,467.38,0.118252248,6.7525383617,3.6041480784,2.1848021835,2.7065091325,0.6664068436,1.1569559801,1.5791
271,2.5,610.1686666667,0.077824564,0.0010884554,42,531.64,0.0799960326,6.1240067746,3.1010095508,1.8084687149,2.3078815748,0.7096729474,0.5798863078,1.3228
278,1.17,494.5706666667,0.077824564,1.9886080903,25,470.17,0.4878239591,6.3256986561,3.2993805549,1.1621982969,2.4367612907,0.9279082633,2.9103855518,1.3499
277,1.34,760.187,0.077824564,1.9747302835,33,520.25,0.4413137139,6.1358293055,3.1709428129,0.8936219169,2.3080625386,0.8087223925,3.2839198742,1.2684
204,4.4,547.618,0.0334700048,1.2451930243,38,509.61,0.4620057961,6.4598203123,3.5059149748,0.9461398919,2.4139041815,0.4732060029,0.0011,1.1141
274,1.76,642.9906666667,0.077824564,1.4672379342,40,479.03,0.523117671,6.6576718509,3.6438767019,0.3711633054,2.4258788299,0.5439556065,0.6806006979,1.6879
272,2.3,212.294,0.077824564,1.7600324478,18,421.85,0.1701173674,6.7311766073,3.4125799208,1.6617993442,3.1601559782,1.2351248114,0,1.5937
280,0.5,475.5143333333,0.077824564,2.0188127289,26,598.59,0.2103587079,6.1628208235,3.0626414966,1.5662873793,2.4751035416,0.4879001513,0.0006082763,0.7555
279,1,578.8093333333,0.077824564,1.9018037689,24,489.94,0.2030821112,6.2241846758,3.1682216743,1.4114545929,2.4437942888,0.9197448475,0.0312936096,1.3575
63,6.68,1392.4646666667,0.0334700048,0.0421776483,64,477.89,0.4602354233,6.1837752234,3.373123411,0.556744958,1.9200870348,0.5504863392,1.1123650345,1.855
256,3.3,1407.124,0.0334700048,0.0443545592,56,485.2,0.4356423169,6.2034158576,3.3943482921,0.5006895028,1.9256971657,0.4990568196,1.3285414973,1.7834
209,4.33,1494.616,0.0334700048,0.0345584602,64,495.29,0.4308751541,6.3242466565,3.5227860341,0.5510305669,1.8243512095,0.2424534495,1.7698820243,1.7669
251,3.5,950.3766666667,0.0334700048,0.2538822316,60,484.33,0.4205185006,6.3675894964,3.5029217223,0.4797367356,2.1448204738,0.4922539731,0,1.743
1,9.84,2609.936,0.0334700048,0.0092518713,130,530.36,0.3444852622,6.2101689072,3.4068655297,0.2187795436,1.7272484074,0.1491183954,1.6351711531,1.6513
38,7.55,1105.6266666667,0.0334700048,0.0432661038,59,466.08,0.5856072584,6.5929558279,3.7217012659,0.5224586116,1.9896770138,0.2693927216,2.6022152063,1.8935
23,7.91,1156.0256666667,0.0334700048,0.0323815494,62,457.98,0.6016178936,6.6020422539,3.7589808648,0.4517090079,1.9220641167,0.2742907711,2.8572023975,1.9151
74,6.38,1183.7433333333,0.0334700048,0.0669400097,58,455.72,0.3727851036,6.5619438276,3.7031975234,0.3151078502,2.1116716687,0.4810973048,0.0583240088,1.8969
5,9.01,1348.6713333333,0.0334700048,0.0669400096,68,452.77,0.3667768296,6.5292014553,3.6955783354,0.344496147,2.0410727343,0.467219498,1.1841624297,1.9175
9,8.9,1350.655,0.0334700048,0.054422772,68,459.31,0.3570776032,6.3983467981,3.5630588854,0.3695306222,2.0015570012,0.5210980423,1.5902215569,1.885
19,8.02,1267.351,0.0334700048,0.0462593563,68,454.6,0.3676228316,6.4288673607,3.5845558804,0.3855853399,2.0182718391,0.5289893442,1.3340104085,1.8951
12,8.5,1370.1963333333,0.0334700048,0.0571439106,74,459.7,0.3458406613,6.4100147683,3.5831953111,0.369802736,2.0072893112,0.5110298295,0.508959016,1.8738
30,7.79,1172.3733333333,0.0334700048,0.0585044799,64,452.78,0.4150443861,6.4030804908,3.5867327913,0.4876280375,1.942959361,0.5001452751,0.2033702289,1.9244
179,4.7,894.7536666667,0.0334700048,0.2498005237,48,527.16,0.4219696838,6.1850302125,3.3448235696,0.5932082152,2.1345843417,0.4704848643,0.6119289665,1.5771
15,8.24,1237.82,0.0334700048,0.0568717968,64,511.6,0.3697510341,6.1589189828,3.3309457627,0.3975583497,1.9588148023,0.4370148595,0.4940944647,1.6697
11,8.54,1219.2063333333,0.0334700048,0.0546948859,64,503.34,0.3425279472,6.1826309846,3.3543475547,0.3978304636,1.9675246743,0.465314701,1.0811860941,1.709
8,8.91,2008.5003333333,0.0334700048,0.066123668,99,520.42,0.2428888314,6.104950641,3.3026459212,0.1390501826,1.8998911896,0.4378312011,1.9599114521,1.7066
18,8.04,1438.792,0.0334700048,0.5121182849,78,617.16,0.2028932642,6.0558169461,3.246590466,0.3692585083,1.9340091508,0.1327915638,0,1.1207
44,7.3,1798.3143333333,0.077824564,0.1366011578,86,577.87,0.3775860085,6.1310509861,3.2727133966,0.1708875042,1.9728994608,0.2914339443,1.3291,1.4776
3,9.45,2583.4696666667,0.0334700048,0.0122451237,130,527.22,0.3467029901,6.2763850939,3.4836016383,0.1741528705,1.7754100975,0.1404107519,1.8777273764,1.6548
175,4.76,1031.7303333333,0.0334700048,0.0010884554,22,420,0.1989911514,6.716296333,3.9042896661,0.6936182297,1.9098918066,0.3303462263,8.2626762456,2.0654
238,3.96,1334.3096666667,0.0334700048,0.0008163416,27,434.07,0.2050358887,6.5204837436,3.7129936224,0.5390575571,1.7686467582,0.3371490728,7.7625391941,1.9908
220,4.18,1077.4973333333,0.0334700048,0.0002721138,22,425.57,0.2471618354,6.5179802961,3.7434703748,0.7488573432,1.7937515353,0.375789241,9.4236933795,2.0513
46,7.21,1267.351,0.0334700048,0.0462593563,68,454.6,0.3676228316,6.4288673607,3.5845558804,0.3855853399,2.0182718391,0.5289893442,1.3340104085,1.8951
83,6.26,1286.3446666667,0.0334700048,0.0487083809,68,460.38,0.3575973407,6.3616753737,3.5189764401,0.4127967259,1.9812778736,0.5254518641,1.2955006214,1.8754
97,6,765.836,0.0334700048,0.1502068508,42,470.36,0.4336531645,6.7524393122,3.8514995773,0.7608303531,2.2359862766,0.2503447514,1.5178456674,1.8444
263,3.14,1046.4736666667,0.077824564,0.0555112274,54,446.11,0.5140619938,6.4873802762,3.5491810786,0.4147015229,2.0890809058,0.6272224478,0.1110634954,1.9296
255,3.34,1046.4736666667,0.0334700048,0.0555112274,54,446.11,0.5140619938,6.4873802762,3.6085019001,0.4147015229,2.0890809058,0.5679016263,0.1110634954,1.9296
161,4.99,1280.443,0.0334700048,0.0214969949,64,451.96,0.5059832054,6.3618585064,3.5023774946,0.3099376868,1.988727916,0.5874938242,0.0001,1.919
14,8.27,1219.2063333333,0.0334700048,0.0546948859,64,503.34,0.3425279472,6.1826309846,3.3543475547,0.3978304636,1.9675246743,0.465314701,1.0811860941,1.709
64,6.67,2798.579,0.0334700048,0.0427218761,134,526.95,0.1432080822,6.0493060777,3.2884960005,0.0789130195,1.8137666073,0.4212322556,0.2855529723,1.701
232,4.04,999.6333333333,0.077824564,0.196466207,64,505.25,0.3439745045,6.2883605528,3.3486331636,0.2168747466,2.1875199871,0.5880380519,0.0471394739,1.162
216,4.21,997.0616666667,0.077824564,0.2217727961,64,504.17,0.3635081979,6.3990088511,3.4531248859,0.1776903508,2.1975122418,0.4968799087,0.093677959,1.1614
6,9,1548.7676666667,0.077824564,0.5025942998,86,613.14,0.1970430883,6.097001923,3.2384270502,0.3308904541,1.9118898026,0.1553770142,0.0002,1.1221
127,5.48,1140.3523333333,0.0334700048,0.0677563512,60,464.51,0.4751910732,6.5537417717,3.6969389047,0.2914339442,2.2803858024,0.5289893442,0.9457611432,1.8614
20,8.02,1702.3213333333,0.0334700048,0.0269392722,90,461.73,0.2694525864,6.2958221869,3.484145866,0.2405486524,1.9318374967,0.5708948787,0.0010198039,1.847
53,6.89,2047.231,0.0334700048,0.0081634158,112,453.42,0.3040817963,6.2845838845,3.4838737521,0.1785066923,1.8436816766,0.5529353639,0.9238825737,1.8844
57,6.83,2079.4486666667,0.0334700048,0.0133335792,64,548.46,0.3811694759,6.2632509742,3.4778872472,0.1463972568,1.8748844016,0.1687105933,0.3432089451,1.0848
195,4.56,1026.0006666667,0.077824564,0.0693890344,54,446.63,0.3906091057,6.5496143486,3.6057807615,0.4136130675,2.1349689019,0.6062696805,1.1688000727,1.9434
75,6.38,1143.8526666667,0.077824564,0.0476199256,58,453.34,0.384474843,6.5229401154,3.5910866131,0.3455846024,2.0807142188,0.5602824381,1.2827000039,1.8899
136,5.3,1171.4723333333,0.0334700048,0.0742870838,66,450.24,0.3733467467,6.4549976384,3.6095903555,0.4307562407,2.072260532,0.5640920322,1.1677710777,1.9341
264,3.09,1259.8036666667,0.0334700048,0.1940171823,74,527.33,0.3631838382,6.168304462,3.3192448667,0.1834047418,2.1128537241,0.5096692602,0.0355529183,1.1288
217,4.2,1219.2063333333,0.077824564,0.0546948859,64,503.34,0.3425279472,6.1826309846,3.2950267332,0.3978304636,1.9675246743,0.5246355225,1.0811860941,1.709
184,4.65,950.4173333333,0.0334700048,0.2378275138,56,541.49,0.3341941881,5.9741210182,3.1113498775,0.5806909777,2.0235408758,0.5186490176,0.0060514461,1.2979
201,4.46,895.381,0.077824564,0.0764639948,47,449.49,0.5950338267,6.5551183957,3.6030596229,0.5376969878,2.1546871704,0.5815073192,2.0107879799,1.9395
199,4.52,969.237,0.0334700048,0.0541506582,52,456.7,0.564111624,6.4830242775,3.5924471823,0.4669473841,2.1168575078,0.5251797502,1.8873058947,1.9146
88,6.15,997.5493333333,0.0334700048,0.052517975,52,464.01,0.5542189246,6.4751969223,3.5897260437,0.4557907159,2.0952198573,0.4707569782,1.916469958,1.8635
91,6.1,1013.1526666667,0.077824564,0.0587765938,51,462.91,0.5725444325,6.4330219951,3.4961188759,0.4606887653,2.0870968323,0.5812352054,2.4407417315,1.8592
165,4.93,1043.2986666667,0.077824564,0.0625861879,59,466.75,0.5763466795,6.3479880466,3.4139404901,0.5028664136,2.0784964024,0.6411002546,2.7429653005,1.8755
234,4,787.5,0.077824564,0.1608192914,41,459.38,0.5340664442,6.641705298,3.6787072761,0.5953851261,2.2451682875,0.5077644631,1.3559816887,1.8484
130,5.44,1019.0186666667,0.077824564,0.056327569,54,445.06,0.5044057614,6.5321011006,3.5870049052,0.3844968844,2.1254671386,0.6250455369,0.0002,1.9302
224,4.15,714.9,0.0334700048,0.251161093,46,435.81,0.4870938776,6.812504093,3.879255191,0.7211017295,2.2919236778,0.4544301465,1.3331000038,1.9827
112,5.67,840.5916666667,0.0334700048,0.270481177,56,446.61,0.3930698313,6.6174270273,3.7355790728,0.6568828585,2.1653323206,0.4786482801,1.3690000329,1.9436
148,5.11,982.2456666667,0.0334700048,0.1153762767,56,454.75,0.4731077694,6.5693687264,3.6838774394,0.5167442205,2.1549133892,0.496335681,0.9913000101,1.8579
59,6.75,1111.3923333333,0.0334700048,0.1229954648,66,461.07,0.4182327442,6.4369907758,3.5908144992,0.5608266659,2.0659945979,0.5132067404,0.8471000059,1.8454
132,5.42,1167.3516666667,0.077824564,0.054422772,64,454.66,0.4758770722,6.4383527057,3.5344869301,0.4685800673,1.999194339,0.5366085323,0.0013076697,1.901
223,4.16,1100.6246666667,0.077824564,0.0674842373,64,452.02,0.3523746594,6.6020585808,3.6825168701,0.5115740572,2.0441226713,0.4258581912,0.2632083965,1.9217
154,5.05,1059.183,0.0334700048,0.0484362671,57,451.95,0.4911306867,6.5209161325,3.6542170286,0.4465388446,2.0555680597,0.4601445376,2.7590903737,1.9009
123,5.5,1331.163,0.077824564,0.0976888758,58,459.49,0.4138209622,6.4898622267,3.5984336873,0.4378312011,2.0539389008,0.5284451165,0.0227651049,1.8656
180,4.7,1445.2056666667,0.077824564,0.0753755392,62,454.94,0.4211889891,6.4470600771,3.560065633,0.393204528,2.0720074867,0.6367464329,0.0227129919,1.9711
152,5.07,1354.158,0.077824564,0.2078949892,62,445.36,0.4131455756,6.3997283201,3.5067313164,0.4114361566,2.1311794538,0.8062733678,0.3772201877,1.9911
210,4.32,831.8763333333,0.077824564,0.1766018953,43,491.59,0.3445043102,6.6185149386,3.6645573553,0.7681774274,2.13936852,0.2424534494,0.397246888,1.7147
260,3.23,794.6323333333,0.077824564,0.1268050589,43,478.62,0.4660665512,6.6041089587,3.6487747514,0.8391991449,2.1049930928,0.2753792265,1.3153309888,1.8054
221,4.18,1277.5366666667,0.0334700048,0.069933262,52,465.31,0.3550280416,6.3631110465,3.5603377468,0.5181047899,1.9902020025,0.4898049484,0.56901565,1.8644
176,4.75,1355.186,0.0334700048,0.0380959404,58,461.41,0.3603201119,6.2797271963,3.476254564,0.4927982009,1.9335797408,0.5417786957,1.0978828854,1.916
150,5.09,1475.0303333333,0.0334700048,0.0261229306,62,465.49,0.3561303748,6.2716685444,3.4713565146,0.4421850228,1.8843315951,0.4976962503,1.3285578234,1.875
205,4.4,766.418,0.0334700048,0.1880306774,50,484.47,0.3805792609,6.4203545507,3.4974794451,0.1420434351,2.3133578536,0.5888543935,0.0479018789,1.1824
76,6.37,1208.6656666667,0.0334700048,0.0244902475,64,465.76,0.5886905805,6.5507994045,3.6800678453,0.4307562407,1.9410924778,0.2808215037,0.876721786,1.8919
41,7.44,762.7623333333,0.0334700048,0.0497968364,54,456.16,0.3513302864,6.7934104077,3.9051060077,0.8400154865,2.0884336414,0.1491183954,7.7791116479,1.997
60,6.73,715.5566666667,0.0334700048,0.032925777,46,430.85,0.3659670188,6.7872492057,3.8822484435,0.6645020466,2.0675210961,0.2759234543,4.7275408724,1.9597
227,4.09,1031.443,0.0334700048,0.1074849748,52,422.72,0.4303233072,6.8272891275,3.9347664185,0.2979646769,2.1006239521,0.3940208696,0.4129923365,1.9958
155,5.05,1126.3513333333,0.0334700048,0.1532001033,58,474.71,0.3631539057,6.4485659552,3.6093182417,0.4903491761,2.0871551974,0.4498042109,0.1312887276,1.7752
188,4.62,950.303,0.077824564,0.3085771175,62,435.23,0.3433587108,6.4993519254,3.5704059597,0.5542959332,2.2153119953,0.8122598727,0.0002,2.0476
192,4.58,1024.085,0.0334700048,0.1689827072,48,474.26,0.3726955782,6.5326202939,3.6656458107,0.4272187606,2.1323121304,0.4019121715,0.3309412788,1.7387
156,5.05,449.7743333333,0.0334700048,2.0060233774,26,430.36,0.2209254333,7.2386877321,4.2400781696,0.2190516575,2.5108132746,0.1205464401,13.1777515172,1.5154
172,4.8,357.462,0.0334700048,1.9159536897,26,389.92,0.2303745871,7.5140800199,4.3429372088,0.0805457026,2.8541839673,0.2576918256,2.6688218318,1.5169
115,5.66,1153.956,0.0334700048,0.0511574057,64,509.74,0.2965420655,6.1277418094,3.2669990055,0.418511117,2.047983139,0.5368806462,0.0861000581,1.7081
101,5.93,1156.4,0.077824564,0.2187795436,72,507.72,0.2822623464,6.2866024252,3.3652321091,0.2127930387,2.1316228189,0.5420508095,0,1.1585
51,7.12,1219.8043333333,0.0334700048,0.040817079,70,442.13,0.3220176371,6.5096253121,3.6569381672,0.319189558,2.10119642,0.5934803291,0.4289822957,1.9476
78,6.3,1067.946,0.0334700048,0.2536101177,62,460.73,0.3964516624,6.1808704079,3.3352995845,0.4810973048,2.0840876232,0.7815110065,0.0817259445,1.9507
98,6,1091.4896666667,0.0334700048,0.4917097454,62,492.64,0.3881437541,6.1782962108,3.3293130795,0.3945650973,2.068012275,0.6310320418,0.0001,1.6852
81,6.28,979.2546666667,0.0334700048,0.3156520778,54,506.57,0.3205449569,6.464926801,3.6030596229,0.5504863392,2.0526128923,0.2272150733,0,1.5304
134,5.37,506.635,0.0334700048,1.1943077324,34,505.77,0.4854949366,6.609087826,3.6335363752,1.1521300841,2.4589846734,0.3708911915,0.002,1.1097
177,4.73,1191.704,0.0334700048,0.2683042662,62,538.32,0.5031537655,6.3254518488,3.4699959453,0.523547067,2.1468187697,0.3281693154,0.1718,1.1149
185,4.65,534.8286666667,0.0334700048,1.3622019842,32,495.49,0.5875428042,5.9917885548,3.0340695412,1.115394713,2.4765255251,1.0604277132,0,1.1655
128,5.47,556.7613333333,0.0334700048,1.3562154793,32,493.64,0.6086653705,6.1338251869,3.1812831396,1.0974351982,2.4857941686,0.9447793226,0,1.1773
164,4.96,514.9173333333,0.0334700048,1.4495505332,38,488.86,0.5172220521,6.1254884346,3.1592419169,1.1085918665,2.5019437633,0.9760724166,0,1.1622
137,5.3,1094.8843333333,0.0334700048,1.3945835336,74,497.55,0.5378349491,6.0855369498,3.2087666395,0.3689863944,2.2987804258,0.8503558131,0.0002,1.1575
206,4.4,1108.003,0.0334700048,1.2721322964,74,509.33,0.4806042342,6.0552999297,3.1869975306,0.3210943551,2.2270608971,0.7624630363,0.0611305161,1.1485
133,5.4,1858.3496666667,0.0334700048,0.0704774898,90,552.69,0.4810562153,6.0354718091,3.2180185107,0.3015021571,1.9851393125,0.4519811218,0.0052096065,1.112
171,4.83,2206.953,0.0334700048,0.0171431732,110,536.47,0.4927410565,6.0727840616,3.2588355897,0.1790509201,1.9606358929,0.494430884,0.087606849,1.12
54,6.86,2263.554,0.0334700048,0.2541543454,110,554.19,0.2256912355,6.1502603198,3.3698580447,0.07401497,1.9133200529,0.2155141773,0.0698949927,1.0138
153,5.07,1481.137,0.077824564,0.3899391617,82,528.26,0.3103295305,6.2609954225,3.3706743863,0.1112945688,2.0671322596,0.4147015229,0.0401054859,1.1118
207,4.4,944.0956666667,0.077824564,0.1281656282,56,500.58,0.3496412756,6.2493201052,3.2982920995,0.2108882416,2.2128671351,0.6669510713,0.2209415534,1.1513
196,4.56,1280.443,0.077824564,0.0214969949,64,451.96,0.5059832054,6.3618585064,3.4430566731,0.3099376868,1.988727916,0.6468146457,0.0001,1.919
69,6.52,889.9333333333,0.0334700048,0.229664098,50,530.03,0.4251539602,6.1973937057,3.3132583618,0.3281693154,2.1784239634,0.4868116959,0.3040799073,1.1472
138,5.29,993.53,0.0334700048,0.2054459645,62,505.64,0.3446820005,6.3070817142,3.4242808167,0.210344014,2.1846732329,0.5064038938,0.0215541179,1.1623
124,5.5,1000.0106666667,0.077824564,0.2068065337,64,510.81,0.3020123704,6.280428978,3.3448235696,0.2538822316,2.1575198942,0.5415065818,0,1.152
173,4.8,1014.5203333333,0.077824564,0.1423155489,62,510.25,0.2723691028,6.3629156687,3.4229202475,0.2065344199,2.1691787984,0.4789203939,0,1.1603
174,4.78,1503.8306666667,0.077824564,0.4745665722,80,619.61,0.1713354035,5.9304513696,3.075430848,0.4244976219,1.9076894723,0.290073375,0.0001414214,1.1185
58,6.83,1476.6336666667,0.077824564,0.5017779582,80,626.62,0.1791298329,5.9613444562,3.1029143479,0.4323889238,1.8988706655,0.2266708455,0.0566154573,1.1117
116,5.65,1538.1366666667,0.077824564,0.453613805,80,638.27,0.1794019467,5.9327243367,3.0819615806,0.4473551862,1.8640490859,0.1899354744,0.0880770685,1.068
159,5.03,1441.5076666667,0.0334700048,0.1597308359,82,539.54,0.3939612764,6.1753620071,3.3418303171,0.1561933558,2.0734729698,0.4247697358,0,1.1163
190,4.6,1082.511,0.0334700048,0.2517053207,63,545.68,0.398018494,6.2767227872,3.4084982128,0.2348342614,2.1561451728,0.3461288302,0.0181,1.1012
187,4.64,1210.5063333333,0.0334700048,0.1804114893,74,521.77,0.370589689,6.2615880864,3.4076818713,0.1896633605,2.1272334977,0.4492599832,0,1.1419
104,5.87,1243.976,0.0334700048,0.1665336824,74,523.9,0.358752464,6.3545903452,3.5037380639,0.2065344199,2.1165916261,0.3385096421,0.0001414214,1.1357
113,5.67,840.7543333333,0.0334700048,0.1273492866,56,476.75,0.2668857364,6.4392441507,3.5309494499,0.0960561927,2.3259765365,0.6356579774,0,1.2003
103,5.88,1104.556,0.0334700048,0.1069407471,66,505.72,0.4048012041,6.2538195079,3.3929877228,0.0789130195,2.2053255791,0.5981062647,0,1.1534
125,5.5,976.789,0.0334700048,0.2546985731,62,508.42,0.2901231716,6.4051080112,3.5189764401,0.1189137569,2.1721318023,0.3836805429,0.2940307637,1.1529
22,7.95,1895.354,0.0334700048,0.2718417463,102,601.72,0.4197002543,5.9961214238,3.1992426544,0.2661273552,1.942713936,0.2674879246,0.0710626484,1.0859
39,7.55,841.9096666667,0.0334700048,0.3039511818,44,464.05,0.4596677938,6.6957242531,3.8025190824,0.5175605621,2.2151344452,0.3613672064,1.1234,1.8039
